place,event_type,model,segment_length,ebr,roc_auc_mse,pr_auc_score,run_id
metro,glassbreak,wavenet,4096,-6,0.47305455577873,0.5904648989990178,0
metro,glassbreak,wavenet,4096,0,0.4707473190892366,0.5884511338637349,0
metro,glassbreak,wavenet,4096,6,0.4725459104684329,0.589416148786311,0
metro,gunshot,wavenet,4096,-6,0.4779750167638268,0.5914072983902349,0
metro,gunshot,wavenet,4096,0,0.4761446255686684,0.5905448395620871,0
metro,gunshot,wavenet,4096,6,0.4790082406195964,0.592272968094941,0
metro,glassbreak,wavenet,4096,-6,0.473806376774446,0.5879899505616603,1
metro,gunshot,wavenet,4096,-6,0.4781294558837226,0.589679062013371,1
metro,glassbreak,wavenet,4096,-6,0.4714962137059786,0.5865469356410999,2
metro,gunshot,wavenet,4096,-6,0.4802998596111331,0.5909676690916641,2
metro,glassbreak,wavenet,4096,-6,0.4694165200543292,0.5829458231910951,3
metro,gunshot,wavenet,4096,-6,0.4769373256004539,0.5867605914810088,3
metro,glassbreak,wavenet,4096,-6,0.4685313156966569,0.5842206946410726,4
metro,gunshot,wavenet,4096,-6,0.4767034383785371,0.5886980154568429,4
metro,glassbreak,wavenet,4096,0,0.4731374206778832,0.587649071932677,1
metro,glassbreak,wavenet,4096,6,0.4720068160784255,0.5858422460646775,1
metro,gunshot,wavenet,4096,0,0.4788138608795567,0.5893172922583635,1
metro,gunshot,wavenet,4096,6,0.477304644637489,0.5887554193036589,1
metro,glassbreak,wavenet,4096,0,0.4731258014742966,0.588342940491011,2
metro,glassbreak,wavenet,4096,6,0.4726123522585275,0.588331583011223,2
metro,gunshot,wavenet,4096,0,0.4794340993466265,0.5912052369189416,2
metro,gunshot,wavenet,4096,6,0.4810307395095761,0.5919204309107917,2
metro,glassbreak,wavenet,4096,0,0.4702049020435587,0.5833495754994652,3
metro,glassbreak,wavenet,4096,6,0.4682387897499052,0.5830717818640185,3
metro,gunshot,wavenet,4096,0,0.47462163207692,0.5850440032406826,3
metro,gunshot,wavenet,4096,6,0.4772851213087731,0.5876883484306593,3
metro,glassbreak,wavenet,4096,0,0.46901705138575,0.5841103521431371,4
metro,glassbreak,wavenet,4096,6,0.4700122318738226,0.5838300460508042,4
metro,gunshot,wavenet,4096,0,0.4757296270437862,0.5873693689268288,4
metro,gunshot,wavenet,4096,6,0.4769890303952867,0.5882062884623567,4
metro_station,glassbreak,wavenet,4096,-6,0.4651371700432433,0.5834493903056864,0
metro_station,glassbreak,wavenet,4096,0,0.4662445637168749,0.5832751460154723,0
metro_station,glassbreak,wavenet,4096,6,0.4679452531569957,0.585359714957237,0
metro_station,gunshot,wavenet,4096,-6,0.4738149567634045,0.5885513761309779,0
metro_station,gunshot,wavenet,4096,0,0.4732475564864512,0.5884696297705819,0
metro_station,gunshot,wavenet,4096,6,0.4750767120294948,0.5881509147245496,0
park,glassbreak,wavenet,4096,-6,0.4684037313223005,0.5863587513432952,0
park,glassbreak,wavenet,4096,0,0.4678848228462167,0.5862406910334659,0
park,glassbreak,wavenet,4096,6,0.4716228670026104,0.5886117008123698,0
park,gunshot,wavenet,4096,-6,0.4753108706925194,0.5885213422888023,0
park,gunshot,wavenet,4096,0,0.4757368725943722,0.58946873690093,0
park,gunshot,wavenet,4096,6,0.4751757619253201,0.5891851776626839,0
tram,glassbreak,wavenet,4096,-6,0.4748504528270478,0.5916072799771083,0
tram,glassbreak,wavenet,4096,0,0.4747202003432609,0.5908259122256498,0
tram,glassbreak,wavenet,4096,6,0.473705175923002,0.590620259200345,0
tram,gunshot,wavenet,4096,-6,0.481319688357081,0.5951205207511846,0
tram,gunshot,wavenet,4096,0,0.4782506227353583,0.5921519582384115,0
tram,gunshot,wavenet,4096,6,0.4788118712511228,0.5924811080956095,0
bus,glassbreak,wavenet,4096,-6,0.4714355312106164,0.589633688767963,0
bus,glassbreak,wavenet,4096,0,0.4719871269400181,0.5896842685206023,0
bus,glassbreak,wavenet,4096,6,0.4708324940420207,0.5881383474781252,0
bus,gunshot,wavenet,4096,-6,0.4768404874395063,0.5912160415711426,0
bus,gunshot,wavenet,4096,0,0.4770341726198636,0.5913974567005827,0
bus,gunshot,wavenet,4096,6,0.4765553923063667,0.5912139326689588,0
metro_station,glassbreak,wavenet,4096,-6,0.4702565863560134,0.5861897648680713,1
metro_station,glassbreak,wavenet,4096,0,0.4697282667000299,0.5857154035283666,1
