place,event_type,model,segment_length,ebr,roc_auc_mse,pr_auc_score,run_id
tram,gunshot,conv-spad-256-64-100,4096,-6,0.5709543261838016,0.6898517722831343,2
tram,gunshot,conv-spad-256-64-100,4096,0,0.6900030135790153,0.7915527369304818,2
tram,gunshot,conv-spad-256-64-100,4096,6,0.8205827524004115,0.8929934512608371,2
tram,glassbreak,conv-spad-256-64-100,4096,-6,0.7693519505782171,0.8623314669653082,2
tram,glassbreak,conv-spad-256-64-100,4096,0,0.8242583091807755,0.9013965162421044,2
tram,glassbreak,conv-spad-256-64-100,4096,6,0.8829363507635305,0.9377982386663584,2
bus,gunshot,conv-spad-256-64-100,4096,-6,0.7150295348477667,0.805753087429693,2
bus,gunshot,conv-spad-256-64-100,4096,0,0.8518345669259747,0.9097995855741308,2
bus,gunshot,conv-spad-256-64-100,4096,6,0.9339918101517212,0.96363089307765,2
bus,glassbreak,conv-spad-256-64-100,4096,-6,0.8099692933804243,0.8899232385179338,2
bus,glassbreak,conv-spad-256-64-100,4096,0,0.8823336363651528,0.9362704876293202,2
bus,glassbreak,conv-spad-256-64-100,4096,6,0.9379260736391026,0.9680404839757568,2
metro_station,gunshot,conv-spad-256-64-100,4096,-6,0.5470406709627116,0.6674276453106297,3
metro_station,gunshot,conv-spad-256-64-100,4096,0,0.6040204422141179,0.7145573696899741,3
metro_station,gunshot,conv-spad-256-64-100,4096,6,0.7016901107185909,0.7998682347243282,3
metro_station,glassbreak,conv-spad-256-64-100,4096,-6,0.7430603946778136,0.8375943779615941,3
metro_station,glassbreak,conv-spad-256-64-100,4096,0,0.7781936225748699,0.8662677126704926,3
metro_station,glassbreak,conv-spad-256-64-100,4096,6,0.8213075175487148,0.8979756570623578,3
park,gunshot,conv-spad-256-64-100,4096,-6,0.6176686038579534,0.7311592358662276,3
park,gunshot,conv-spad-256-64-100,4096,0,0.7221942372756167,0.8181268325253696,3
park,gunshot,conv-spad-256-64-100,4096,6,0.8394567150895901,0.9044149045504284,3
